"","ACC","BLCA","BRCA","COAD","GBM","HNSC","KICH","KIRC","KIRP","LAML","LGG","LUAD","LUSC","OV","PRAD","SKCM","STAD","THCA","UCEC"
"Histological","X","X","","X","X","","X","","X","","X","","","","","","","X","X"
"mRNA","X","","X","X","X","X","","X","X","X","X","X","X","X","X","X","X","X","X"
"CIMP","X","","","","","","","","","","","","","","","","X","",""
"microRNA","X","","X","","","X","","X","X","X","","","","","X","X","X","X",""
"SCNA","X","","X","","","X","X","","X","","","","","","","","","","X"
"Protein","X","","X","","X","X","","","X","","X","","","","X","X","","",""
"Integrative","X","","X","","","X","","","X","","","X","","","X","","","","X"
"Mutation","X","","","","X","","","","","","X","","","","X","X","X","X",""
"Diagnosis","","X","","","","","","","","","","","","","","","","",""
"Methylation","","","X","X","X","X","","","X","","X","X","","","X","X","X","X",""
"MSI","","","","X","","","","","","","","","","","","","X","","X"
"SCNA Cluster","","","","","","","","","","","","","X","","X","","","X",""
"Pathway Cluster","","","","","","","","","","","","","","","","X","","",""
"Virus","","","","","","","","","","","","","","","","","X","",""
"Copy Number","","","","","","","","","","","","","","","","","X","",""
"RPPA","","","","","","","","","","","","","","","","","","X",""
